variable,lat,lon,month,nzi,enso,time
sst,-55,85,aug,0,0.0,1
sst,-55,85,july,0,0.0,0
sst,-55,85,oct,0,0.0,3
sst,-55,85,sept,0,0.0,2
sst,-55,95,aug,0,0.0,1
sst,-55,95,july,0,0.0,0
sst,-55,95,oct,0,0.0,3
sst,-55,95,sept,0,0.0,2
sst,-55,105,aug,0,0.0,1
sst,-55,105,july,0,0.0,0
sst,-55,105,oct,0,0.0,3
sst,-55,105,sept,0,0.0,2
sst,-55,115,aug,0,0.0,1
sst,-55,115,july,0,0.0,0
sst,-55,115,oct,0,0.0,3
sst,-55,115,sept,0,0.0,2
sst,-55,125,aug,0,0.0,1
sst,-55,125,july,0,0.0,0
sst,-55,125,oct,0,0.0,3
sst,-55,125,sept,0,0.0,2
sst,-55,135,aug,0,0.0,1
sst,-55,135,july,0,0.0,0
sst,-55,135,oct,0,0.0,3
sst,-55,135,sept,0,0.0,2
sst,-55,145,aug,0,0.0,1
sst,-55,145,july,0,0.0,0
sst,-55,145,oct,0,0.0,3
sst,-55,145,sept,0,0.0,2
sst,-55,155,aug,0,0.0,1
sst,-55,155,july,0,0.0,0
sst,-55,155,oct,0,0.0,3
sst,-55,155,sept,0,0.0,2
sst,-55,165,aug,0,0.0,1
sst,-55,165,july,0,0.0,0
sst,-55,165,oct,0,0.0,3
sst,-55,165,sept,0,0.0,2
sst,-55,175,aug,0,0.0,1
sst,-55,175,july,0,0.0,0
sst,-55,175,oct,0,0.0,3
sst,-55,175,sept,0,0.0,2
sst,-55,185,aug,0,0.0,1
sst,-55,185,july,0,0.0,0
sst,-55,185,oct,0,0.0,3
sst,-55,185,sept,0,0.0,2
sst,-55,195,aug,0,0.0,1
sst,-55,195,july,0,0.0,0
sst,-55,195,oct,0,0.0,3
sst,-55,195,sept,0,0.0,2
sst,-55,205,aug,0,0.0,1
sst,-55,205,july,0,0.0,0
sst,-55,205,oct,0,0.0,3
sst,-55,205,sept,0,0.0,2
sst,-55,215,aug,0,0.0,1
sst,-55,215,july,0,0.0,0
sst,-55,215,oct,0,0.0,3
sst,-55,215,sept,0,0.0,2
sst,-55,225,aug,0,0.0,1
sst,-55,225,july,0,0.0,0
sst,-55,225,oct,0,0.0,3
sst,-55,225,sept,0,0.0,2
sst,-55,235,aug,0,0.0,1
sst,-55,235,july,0,0.0,0
sst,-55,235,oct,0,0.0,3
sst,-55,235,sept,0,0.0,2
sst,-55,245,aug,0,0.0,1
sst,-55,245,july,0,0.0,0
sst,-55,245,oct,0,0.0,3
sst,-55,245,sept,0,0.0,2
sst,-55,255,aug,0,0.0,1
sst,-55,255,july,0,0.0,0
sst,-55,255,oct,0,0.0,3
sst,-55,255,sept,0,0.0,2
sst,-55,265,aug,0,0.0,1
sst,-55,265,july,0,0.0,0
sst,-55,265,oct,0,0.0,3
sst,-55,265,sept,0,0.0,2
sst,-55,275,aug,0,0.0,1
sst,-55,275,july,0,0.0,0
sst,-55,275,oct,0,0.0,3
sst,-55,275,sept,0,0.0,2
sst,-45,85,aug,0,0.0,1
sst,-45,85,july,0,0.0,0
sst,-45,85,oct,0,0.0,3
sst,-45,85,sept,0,0.0,2
sst,-45,95,aug,0,0.0,1
sst,-45,95,july,0,0.0,0
sst,-45,95,oct,0,0.0,3
sst,-45,95,sept,0,0.0,2
sst,-45,105,aug,0,0.0,1
sst,-45,105,july,0,0.0,0
sst,-45,105,oct,0,0.0,3
sst,-45,105,sept,0,0.0,2
sst,-45,115,aug,0,0.0,1
sst,-45,115,july,0,0.0,0
sst,-45,115,oct,0,0.0,3
sst,-45,115,sept,0,0.0,2
sst,-45,125,aug,0,0.0,1
sst,-45,125,july,0,0.0,0
sst,-45,125,oct,0,0.0,3
sst,-45,125,sept,0,0.0,2
sst,-45,135,aug,0,0.0,1
sst,-45,135,july,0,0.0,0
sst,-45,135,oct,0,0.0,3
sst,-45,135,sept,0,0.0,2
sst,-45,145,aug,0,0.0,1
sst,-45,145,july,0,0.0,0
sst,-45,145,oct,0,0.0,3
sst,-45,145,sept,0,0.0,2
sst,-45,155,aug,0,0.0,1
sst,-45,155,july,0,0.0,0
sst,-45,155,oct,0,0.0,3
sst,-45,155,sept,0,0.0,2
sst,-45,165,aug,0,0.0,1
sst,-45,165,july,0,0.0,0
sst,-45,165,oct,0,0.0,3
sst,-45,165,sept,0,0.0,2
sst,-45,175,aug,0,0.0,1
sst,-45,175,july,0,0.0,0
sst,-45,175,oct,0,0.0,3
sst,-45,175,sept,0,0.0,2
sst,-45,185,aug,0,0.0,1
sst,-45,185,july,0,0.0,0
sst,-45,185,oct,0,0.0,3
sst,-45,185,sept,0,0.0,2
sst,-45,195,aug,0,0.0,1
sst,-45,195,july,0,0.0,0
sst,-45,195,oct,0,0.0,3
sst,-45,195,sept,0,0.0,2
sst,-45,205,aug,0,0.0,1
sst,-45,205,july,0,0.0,0
sst,-45,205,oct,0,0.0,3
sst,-45,205,sept,0,0.0,2
sst,-45,215,aug,0,0.0,1
sst,-45,215,july,0,0.0,0
sst,-45,215,oct,0,0.0,3
sst,-45,215,sept,0,0.0,2
sst,-45,225,aug,0,0.0,1
sst,-45,225,july,0,0.0,0
sst,-45,225,oct,0,0.0,3
sst,-45,225,sept,0,0.0,2
sst,-45,235,aug,0,0.0,1
sst,-45,235,july,0,0.0,0
sst,-45,235,oct,0,0.0,3
sst,-45,235,sept,0,0.0,2
sst,-45,245,aug,0,0.0,1
sst,-45,245,july,0,0.0,0
sst,-45,245,oct,0,0.0,3
sst,-45,245,sept,0,0.0,2
sst,-45,255,aug,0,0.0,1
sst,-45,255,july,0,0.0,0
sst,-45,255,oct,0,0.0,3
sst,-45,255,sept,0,0.0,2
sst,-45,265,aug,0,0.0,1
sst,-45,265,july,0,0.0,0
sst,-45,265,oct,0,0.0,3
sst,-45,265,sept,0,0.0,2
sst,-45,275,aug,0,0.0,1
sst,-45,275,july,0,0.0,0
sst,-45,275,oct,0,0.0,3
sst,-45,275,sept,0,0.0,2
sst,-35,85,aug,0,0.0,1
sst,-35,85,july,0,0.0,0
sst,-35,85,oct,0,0.0,3
sst,-35,85,sept,0,0.0,2
sst,-35,95,aug,0,0.0,1
sst,-35,95,july,0,0.0,0
sst,-35,95,oct,0,0.0,3
sst,-35,95,sept,0,0.0,2
sst,-35,105,aug,0,0.0,1
sst,-35,105,july,0,0.0,0
sst,-35,105,oct,0,0.0,3
sst,-35,105,sept,0,0.0,2
sst,-35,115,aug,0,0.0,1
sst,-35,115,july,0,0.0,0
sst,-35,115,oct,0,0.0,3
sst,-35,115,sept,0,0.0,2
sst,-35,125,aug,0,0.0,1
sst,-35,125,july,0,0.0,0
sst,-35,125,oct,0,0.0,3
sst,-35,125,sept,0,0.0,2
sst,-35,135,aug,0,0.0,1
sst,-35,135,july,0,0.0,0
sst,-35,135,oct,0,0.0,3
sst,-35,135,sept,0,0.0,2
sst,-35,145,aug,0,0.0,1
sst,-35,145,july,0,0.0,0
sst,-35,145,oct,0,0.0,3
sst,-35,145,sept,0,0.0,2
sst,-35,155,aug,0,0.0,1
sst,-35,155,july,0,0.0,0
sst,-35,155,oct,0,0.0,3
sst,-35,155,sept,0,0.0,2
sst,-35,165,aug,0,0.0,1
sst,-35,165,july,0,0.0,0
sst,-35,165,oct,0,0.0,3
sst,-35,165,sept,0,0.0,2
sst,-35,175,aug,1,0.0,1
sst,-35,175,july,1,0.0,0
sst,-35,175,oct,1,0.0,3
sst,-35,175,sept,1,0.0,2
sst,-35,185,aug,1,0.0,1
sst,-35,185,july,1,0.0,0
sst,-35,185,oct,1,0.0,3
sst,-35,185,sept,1,0.0,2
sst,-35,195,aug,1,0.0,1
sst,-35,195,july,1,0.0,0
sst,-35,195,oct,1,0.0,3
sst,-35,195,sept,1,0.0,2
sst,-35,205,aug,0,0.0,1
sst,-35,205,july,0,0.0,0
sst,-35,205,oct,0,0.0,3
sst,-35,205,sept,0,0.0,2
sst,-35,215,aug,0,0.0,1
sst,-35,215,july,0,0.0,0
sst,-35,215,oct,0,0.0,3
sst,-35,215,sept,0,0.0,2
sst,-35,225,aug,0,0.0,1
sst,-35,225,july,0,0.0,0
sst,-35,225,oct,0,0.0,3
sst,-35,225,sept,0,0.0,2
sst,-35,235,aug,0,0.0,1
sst,-35,235,july,0,0.0,0
sst,-35,235,oct,0,0.0,3
sst,-35,235,sept,0,0.0,2
sst,-35,245,aug,0,0.0,1
sst,-35,245,july,0,0.0,0
sst,-35,245,oct,0,0.0,3
sst,-35,245,sept,0,0.0,2
sst,-35,255,aug,0,0.0,1
sst,-35,255,july,0,0.0,0
sst,-35,255,oct,0,0.0,3
sst,-35,255,sept,0,0.0,2
sst,-35,265,aug,0,0.0,1
sst,-35,265,july,0,0.0,0
sst,-35,265,oct,0,0.0,3
sst,-35,265,sept,0,0.0,2
sst,-35,275,aug,0,0.0,1
sst,-35,275,july,0,0.0,0
sst,-35,275,oct,0,0.0,3
sst,-35,275,sept,0,0.0,2
sst,-25,85,aug,0,0.0,1
sst,-25,85,july,0,0.0,0
sst,-25,85,oct,0,0.0,3
sst,-25,85,sept,0,0.0,2
sst,-25,95,aug,0,0.0,1
sst,-25,95,july,0,0.0,0
sst,-25,95,oct,0,0.0,3
sst,-25,95,sept,0,0.0,2
sst,-25,105,aug,0,0.0,1
sst,-25,105,july,0,0.0,0
sst,-25,105,oct,0,0.0,3
sst,-25,105,sept,0,0.0,2
sst,-25,115,aug,0,0.0,1
sst,-25,115,july,0,0.0,0
sst,-25,115,oct,0,0.0,3
sst,-25,115,sept,0,0.0,2
sst,-25,155,aug,0,0.0,1
sst,-25,155,july,0,0.0,0
sst,-25,155,oct,0,0.0,3
sst,-25,155,sept,0,0.0,2
sst,-25,165,aug,0,0.0,1
sst,-25,165,july,0,0.0,0
sst,-25,165,oct,0,0.0,3
sst,-25,165,sept,0,0.0,2
sst,-25,175,aug,0,0.0,1
sst,-25,175,july,0,0.0,0
sst,-25,175,oct,0,0.0,3
sst,-25,175,sept,0,0.0,2
sst,-25,185,aug,0,0.0,1
sst,-25,185,july,0,0.0,0
sst,-25,185,oct,0,0.0,3
sst,-25,185,sept,0,0.0,2
sst,-25,195,aug,0,0.0,1
sst,-25,195,july,0,0.0,0
sst,-25,195,oct,0,0.0,3
sst,-25,195,sept,0,0.0,2
sst,-25,205,aug,0,0.0,1
sst,-25,205,july,0,0.0,0
sst,-25,205,oct,0,0.0,3
sst,-25,205,sept,0,0.0,2
sst,-25,215,aug,0,0.0,1
sst,-25,215,july,0,0.0,0
sst,-25,215,oct,0,0.0,3
sst,-25,215,sept,0,0.0,2
sst,-25,225,aug,0,0.0,1
sst,-25,225,july,0,0.0,0
sst,-25,225,oct,0,0.0,3
sst,-25,225,sept,0,0.0,2
sst,-25,235,aug,0,0.0,1
sst,-25,235,july,0,0.0,0
sst,-25,235,oct,0,0.0,3
sst,-25,235,sept,0,0.0,2
sst,-25,245,aug,0,0.0,1
sst,-25,245,july,0,0.0,0
sst,-25,245,oct,0,0.0,3
sst,-25,245,sept,0,0.0,2
sst,-25,255,aug,0,0.0,1
sst,-25,255,july,0,0.0,0
sst,-25,255,oct,0,0.0,3
sst,-25,255,sept,0,0.0,2
sst,-25,265,aug,0,0.0,1
sst,-25,265,july,0,0.0,0
sst,-25,265,oct,0,0.0,3
sst,-25,265,sept,0,0.0,2
sst,-25,275,aug,0,0.0,1
sst,-25,275,july,0,0.0,0
sst,-25,275,oct,0,0.0,3
sst,-25,275,sept,0,0.0,2
sst,-15,85,aug,0,0.0,1
sst,-15,85,july,0,0.0,0
sst,-15,85,oct,0,0.0,3
sst,-15,85,sept,0,0.0,2
sst,-15,95,aug,0,0.0,1
sst,-15,95,july,0,0.0,0
sst,-15,95,oct,0,0.0,3
sst,-15,95,sept,0,0.0,2
sst,-15,105,aug,0,0.0,1
sst,-15,105,july,0,0.0,0
sst,-15,105,oct,0,0.0,3
sst,-15,105,sept,0,0.0,2
sst,-15,115,aug,0,0.0,1
sst,-15,115,july,0,0.0,0
sst,-15,115,oct,0,0.0,3
sst,-15,115,sept,0,0.0,2
sst,-15,125,aug,0,0.0,1
sst,-15,125,july,0,0.0,0
sst,-15,125,oct,0,0.0,3
sst,-15,125,sept,0,0.0,2
sst,-15,135,aug,0,0.0,1
sst,-15,135,july,0,0.0,0
sst,-15,135,oct,0,0.0,3
sst,-15,135,sept,0,0.0,2
sst,-15,145,aug,0,0.0,1
sst,-15,145,july,0,0.0,0
sst,-15,145,oct,0,0.0,3
sst,-15,145,sept,0,0.0,2
sst,-15,155,aug,0,0.0,1
sst,-15,155,july,0,0.0,0
sst,-15,155,oct,0,0.0,3
sst,-15,155,sept,0,0.0,2
sst,-15,165,aug,0,0.0,1
sst,-15,165,july,0,0.0,0
sst,-15,165,oct,0,0.0,3
sst,-15,165,sept,0,0.0,2
sst,-15,175,aug,0,0.0,1
sst,-15,175,july,0,0.0,0
sst,-15,175,oct,0,0.0,3
sst,-15,175,sept,0,0.0,2
sst,-15,185,aug,0,0.0,1
sst,-15,185,july,0,0.0,0
sst,-15,185,oct,0,0.0,3
sst,-15,185,sept,0,0.0,2
sst,-15,195,aug,0,0.0,1
sst,-15,195,july,0,0.0,0
sst,-15,195,oct,0,0.0,3
sst,-15,195,sept,0,0.0,2
sst,-15,205,aug,0,0.0,1
sst,-15,205,july,0,0.0,0
sst,-15,205,oct,0,0.0,3
sst,-15,205,sept,0,0.0,2
sst,-15,215,aug,0,0.0,1
sst,-15,215,july,0,0.0,0
sst,-15,215,oct,0,0.0,3
sst,-15,215,sept,0,0.0,2
sst,-15,225,aug,0,0.0,1
sst,-15,225,july,0,0.0,0
sst,-15,225,oct,0,0.0,3
sst,-15,225,sept,0,0.0,2
sst,-15,235,aug,0,0.0,1
sst,-15,235,july,0,0.0,0
sst,-15,235,oct,0,0.0,3
sst,-15,235,sept,0,0.0,2
sst,-15,245,aug,0,0.0,1
sst,-15,245,july,0,0.0,0
sst,-15,245,oct,0,0.0,3
sst,-15,245,sept,0,0.0,2
sst,-15,255,aug,0,0.0,1
sst,-15,255,july,0,0.0,0
sst,-15,255,oct,0,0.0,3
sst,-15,255,sept,0,0.0,2
sst,-15,265,aug,0,0.0,1
sst,-15,265,july,0,0.0,0
sst,-15,265,oct,0,0.0,3
sst,-15,265,sept,0,0.0,2
sst,-15,275,aug,0,0.0,1
sst,-15,275,july,0,0.0,0
sst,-15,275,oct,0,0.0,3
sst,-15,275,sept,0,0.0,2
sst,-5,85,aug,0,0.0,1
sst,-5,85,july,0,0.0,0
sst,-5,85,oct,0,0.0,3
sst,-5,85,sept,0,0.0,2
sst,-5,95,aug,0,0.0,1
sst,-5,95,july,0,0.0,0
sst,-5,95,oct,0,0.0,3
sst,-5,95,sept,0,0.0,2
sst,-5,105,aug,0,0.0,1
sst,-5,105,july,0,0.0,0
sst,-5,105,oct,0,0.0,3
sst,-5,105,sept,0,0.0,2
sst,-5,115,aug,0,0.0,1
sst,-5,115,july,0,0.0,0
sst,-5,115,oct,0,0.0,3
sst,-5,115,sept,0,0.0,2
sst,-5,125,aug,0,0.0,1
sst,-5,125,july,0,0.0,0
sst,-5,125,oct,0,0.0,3
sst,-5,125,sept,0,0.0,2
sst,-5,135,aug,0,0.0,1
sst,-5,135,july,0,0.0,0
sst,-5,135,oct,0,0.0,3
sst,-5,135,sept,0,0.0,2
sst,-5,145,aug,0,0.0,1
sst,-5,145,july,0,0.0,0
sst,-5,145,oct,0,0.0,3
sst,-5,145,sept,0,0.0,2
sst,-5,155,aug,0,0.0,1
sst,-5,155,july,0,0.0,0
sst,-5,155,oct,0,0.0,3
sst,-5,155,sept,0,0.0,2
sst,-5,165,aug,0,3.0,1
sst,-5,165,july,0,3.0,0
sst,-5,165,oct,0,3.0,3
sst,-5,165,sept,0,3.0,2
sst,-5,175,aug,0,3.0,1
sst,-5,175,july,0,3.0,0
sst,-5,175,oct,0,3.0,3
sst,-5,175,sept,0,3.0,2
sst,-5,185,aug,0,3.0,1
